	_id	about	about_en	category	checked	description	description_en	engagement	error	id	likes	location	name	name_en	phone	phone_en	relevant	retrieved	start_info	start_info_clean	talking_about_count	website	website_en
1014	{u'$oid': u'5614a241c5fd9419732fcc23'}		During the stormy life do not mind not being God, of God is important. ♥	Community	[1448985748]			516		3.48966298512e+14	516.0		خدای مهربون	god kind				1444192561.23	{u'date': {u'year': 1000}, u'type': u'Founded'}	1000	1.0		
1085	{u'$oid': u'561518dac5fd94197330076f'}		"And this was
No person who is not .. !!"	Community	[1445977612]		"Dedicated to
 The second person who loved one !!"	611		3.55695831189e+14	611.0		کنار مهربانی تو مهربانی من هیچ است	your kindness is the kindness i have				1444222503.84	{u'date': {u'year': 1986}, u'type': u'Born'}	1986	0.0		
465	{u'$oid': u'560351cac5fd9455673fd519'}			Community	[1445025171]			398		1.18120188355e+14	398.0		في اوروبا و الدول المتقدمة	in europe and developed countries				1443057755.5	{u'date': {u'year': 2000, u'day': 1, u'month': 1}, u'type': u'Opened'}	2000/1/1	0.0	https://www.facebook.com/mohamed.kotop3?ref=tn_tnmn	https://www.facebook.com/mohamed.kotop3?ref=tn_tnmn
362	{u'$oid': u'5602d0ccc5fd9455673f2014'}			Business Person	[1445018733]			199		2.15761598509e+14	199.0	{u'city': u'Miami', u'state': u'FL', u'zip': u'1200', u'country': u'United States'}	اوروبا الحلم الضائع	europe lost dream				1443025032.07	{u'date': {u'year': 2002}, u'type': u'Opened'}	2002	0.0		
183	{u'$oid': u'5601f056c5fd9455673e1d7d'}		"~~~~~~ ~~~~ Hello to you
Page Algerian 1OO% that you appreciate our efforts helped us to publish Page"	Community/Government	[1447549566]			4590		2.1903607822e+14	4590.0	{u'city': u'Khenchela', u'zip': u'khenchela', u'country': u'Algeria', u'longitude': 7.14333, u'street': u'dz', u'latitude': 35.43583}	الهجرة الى أوروبا	immigration to europe	0663169533			1442967172.39	{u'date': {u'year': 2003, u'day': 25, u'month': 12}, u'type': u'Created'}	2003/12/25	7.0	https://www.facebook.com/haithem.lamouchi.73?ref=tn_tnmn 	
19	{u'$oid': u'55fb3bb1c5fd9455673c21df'}		"Syriajob Ltd. 
Service Provider Company"	Local Business	[1446200124]			12688		2.75337192494e+14	12688.0	{u'city': u'Damascus', u'zip': u'33753', u'country': u'Syria'}	syriajob ltd	syriajob ltd	+963 (11) 2758026, 2760660			1442528157.96	{u'date': {u'year': 2006}, u'type': u'Unspecified'}	2006	347.0	<<not-applicable>>	
431	{u'$oid': u'56032daac5fd9455673fb2ba'}		I love my country but national does not like me, the more I grew Sabri shortages and increased Imnapl unfortunately adore Europe	Local Business	[1448690431]		all	3089		2.54772114576e+14	3089.0	{u'city': u'Annaba', u'street': u'dz', u'zip': u'23000', u'country': u'Algeria'}	الهجرة الى اوروبا	migration to europe	Téléphone	Phone		1443048397.87	{u'date': {u'year': 2008}, u'type': u'Born'}	2008	2.0	Site web	
789	{u'$oid': u'56065e7cc5fd94556740f8d5'}		The investment group with a group of lawyers experienced the establishment of investment projects and legal services in Georgia and the EU	Travel/Leisure	[1445875330]		The investment group with a group of lawyers experienced the establishment of investment projects and legal services in Georgia and the European Union countries and processing paperwork for investment in Europe and invitations Walvis and stays legitimate and legally license away from the problems of illegal documents	21		4.30237103784e+14	21.0	{u'latitude': 41.7167, u'city': u'Tbilisi', u'longitude': 44.7833, u'zip': u'00995', u'country': u'Georgia'}	السفر والاقامة في اوروبا بطريقة شرعية وقانونية	travel and accommodation in europe legitimacy and legal manner	+995555133952 - +995591644777			1443257905.7	{u'date': {u'year': 2008}, u'type': u'Founded'}	2008	0.0	http://www.facebook.com/magicalgeorgia 	http://www.facebook.com/magicalgeorgia
1011	{u'$oid': u'56149d05c5fd9419732fc949'}		Imam (as) Shia are like a kind father. ♥	Cause	[1448985688]			23		5.046063929e+14	23.0		پدر مهربان_kind father	father mhrban_ kind father				1444191405.02	{u'date': {u'year': 2010}, u'type': u'Born'}	2010	0.0	http://www.pedarmehrban.mihanblog.com	http://www.pedarmehrban.mihanblog.com
716	{u'$oid': u'56056d74c5fd94556740b7fd'}		Facts Scandinavia and the earth and human civilization tells the story of the social and mental sophistication in the north of the universe is discovered us	Community	[1445302890]			53		3.96642873706e+14	53.0		حقائق اوروبا و اسكندنافيا الارض والانسان	facts europe and scandinavia and the land rights				1443196148.6	{u'date': {u'year': 2010, u'day': 1, u'month': 1}, u'type': u'Started'}	2010/1/1	0.0	http://www.chinainarabic.org	http://www.chinainarabic.org
