_id/$oid,website,start_info/date/month,start_info/date/day,start_info/date/year,start_info/type,about,talking_about_count,description,retrieved,engagement,start_info_clean,name,likes,about_en,category,id,website_en,checked/0,phone,location/city,location/country,description_en,name_en,location/latitude,location/longitude,checked/1,checked/2,checked/3,checked/4,checked/5,location/street,location/zip,relevant,location/state,engagement/count,engagement/social_sentence,checked/6,phone_en,location/located_in,error/message,error/code,error/type,error/fbtrace_id
55fb0eb6c5fd9455673c0014,http://www.salabinastudio.com,9,20,2013,Founded,,113863,,1442516470.361267,509627,2013/9/20,syrian salabina,509627,Any camera and any potential patchwork idea Wushu Wushu Makint Ahabb say you had to do is visualize and reflect,TV Channel,657095547710700,http://www.salabinastudio.com,1446047968,,,,,,,,,,,,,,,,,,,,,,,,,
55fb0eebc5fd9455673c003f,www.syriahr.com,5,20,2012,Founded,,597,,1442516662.47291,31038,2012/5/20,syrian observatory for human rights,31038,,Non-Governmental Organization (NGO),121855461256134,www.syriahr.com,1444920855,00447722221287,,,,,,,,,,,,,,,,,,,,,,,,
55fb0f68c5fd9455673c0546,http://www.syriatel.sy/ http://surf.syriatel.sy/,2,14,2011,Created,,17492,,1442516716.292821,1055593,2011/2/14,syriatel,1055593,"Welcome to the official page within Syriatel
http://www.syriatel.sy/
http://surf.syriatel.sy/",Telecommunication,186734541367498,,1446140594,+963 933 222111,Damascus,Syria,,,,,,,,,,,,,,,,,,,,,,
55fb1344c5fd9455673c0721,http://www.syr-res.com,,,,,,148593,,1442517614.234321,1213340,,الباحثون السوريون syrian researchers,1213340,"""Syrian Researchers"" initiative, an initiative of science and thought and scientific research",Science Website,243067265774918,,1446141131,<<not-applicable>>,,,"Page Syrian Researchers Page launched from Syria through the heart of her children scattered around the globe and creators in every time and place in cooperation with a group of Arab youth upscale.
Researchers Syrian message to the dissemination of science and scientific research and intellectual awakening awareness in Arab societies, and supplement science facilities thought to be part of a scientific movement began and will remain indefinitely. Researchers in our work is divided in two areas, first in the translation of all the studies and scientific research and the old and the new innovations and creations of humanity, and to our belief that the translation movement is considered an essential part in the enlightenment of society. As for our department is the second publication of scientific research and intellectual innovate by researchers Syrian team, composed of a group of creative people and college graduates and graduate studies and research in various fields. The number of researchers team since inception until now nearly 150 people from the young women and young people of all ages, the team headed by Dr. Muhannad king of the founder of the initiative.
What you see it on the front page is the fruit of the work of researchers Haola the 150 people, and also what you see it is a fraction of future researchers targets and which are summarized below:
1. motivate all members of the Arab community's interest in science as a means to fight ignorance and backwardness
2. work to create opportunities for young Syrian researcher and publishing their research on the page, and help in the formation of personal researcher.
3. contribute to the establishment of an association to send a Syrian youth to study in the best universities and the cost.
4. Establish a scientific-speaking channel in Arabic


Belchena dream, we moved to the idea, we became a page gathering the best people, and the stairs Mntalaao with some step by step.
_______________________________________

 Syrian Researcher's initiative:
The initiative of science, thought and scientific research

Description:
Syrian Researchers' page has started from the core of Syria by creative Syrians all around the world and in cooperation with a group of Arab youth who shares the page's interests.
Syrian Researchers' page carries the message of spreading science, scientific research and awakening the scientific thinking in Arab societies.
Our work is divided into two sections; the first is translating scientific literature, old and new researches, in addition to new inventions and innovations. And that reflect our belief that translation is a part and parcel of society enlightenment process. The second section is about spreading scientific researches created by Syrian Researchers' team which is composed of a group of university graduates, post-graduate students and interdisciplinary researchers. The team now is almost 150 members of both genders and all ages, headed by Dr. Mouhannad Malek the founder of this initiative.
What you see on our page is the efforts of those outstanding 150 people, and it is a small part of Syrian researchers' next perspectives which can be summarized by the following:
1- Stimulating all individuals in our Arab society to pay more attention to science as an approach to fight ignorance in our society and develop it.
2- Creating opportunities to young Syrian researchers and publish their researches on our page, as well as helping in composing researcher's personality.
3- Founding a NGO that offers scholarships to young Syrians to study abroad in the best universities in the world.
4- Creating a scientific TV channel in Arabic language.

We've started with a dream, moved into an idea, then transformed it into a page that gathers the most amazing people, and we are still climbing upwards --together-- step by step.",syrian researchers syrian researchers,,,,,,,,,,,,,,,,,,,,
55fb3097c5fd9455673c087e,,,,,,,7853,,1442525333.957793,242623,,syria,242623,,Country,112708625409031,,1444666390,<<not-applicable>>,,,,,33.5,36.3,1449023459,1449221413,1449550768,1449792181,1450138574,,,,,,,,,,,,,
55fb3629c5fd9455673c08c9,http://www.syria-in.com,,,,,,2739,,1442526713.758454,7965,,syria in,7965,"Syria In a specialized news site transfer of Syrian expatriates all over the world, and the activities of the Syrian communities, in addition to all the activities inside Syria.",Society/Culture Website,679138745548161,,1444668215,,,,,,,,1449031114,1449229470,1449559653,1449800662,1450147470,,,,,,,,,,,,,
55fb365ec5fd9455673c09de,http://syriaroom.com/rooms,11,20,2010,Started,,518,,1442526764.022505,28689,2010/11/20,syriaroom.com,28689,"www.syriaroom.us to visitors from Syria, you can visit the site without Cyriarom proxy of the site",Computers/Internet Website,182640108434453,http://syriaroom.com/rooms,1446146265,,,,"Cyriarom voice chat rooms ..
Founded in 2003",syriaroom.com,,,,,,,,,,,,,,,,,,,,
55fb36f1c5fd9455673c0d55,http://www.SyrianTech.com,12,10,2012,Founded,,25403,,1442526819.778009,111949,2012/12/10,syrian tech,111949,"Syrian Tech - All Tech are In Syrian Hands ©

Everything you need in the world of technology we offer hands that Syria;)!",Computers/Internet Website,108473125988804,,1446146740,<<not-applicable>>,Damascus,Syria,Syria page competent with all sorts of technology .. :),,,,,,,,,"Damascus, Syria",,,,,,,,,,,,
55fb3761c5fd9455673c0f77,http://www.sarc.sy,,,,,,3110,,1442526961.659798,306318,,syrian arab red crescent   الهلال الأحمر العربي السوري,306318,"Syria is a humanitarian organization, non-profit, the International Red Cross and Red Crescent member

Syrian None Profit Organization member of the Red Cross / Crescent Mvmt",Non-Profit Organization,497864640228924,,1446158801,+963113327691,Damascus,Syria,"Syria is a non-profit organization, the International Red Cross and Red Crescent member acting in accordance with the principles of the International Movement Alossayash Cross and Red Crescent which is humanity, neutrality, impartiality, independence, global, volunteer, Unity

Bmcharkatkm welcome in our society. Credibility and appreciate the difference of opinion, however, we at the same time we reserve the right to delete any comments may contain:
* Attack against the culture or race or religion or type
* Anger or hate or violence or pornography
* Personal information such as names, addresses or phone numbers Information
* Marketing of others, including electronic links to other sites for the benefit of

If you have any questions about the Red Crescent, please send a message to a page.",syrian arab red crescent   syrian arab red crescent,33.518981318897,36.317247273459,,,,,,Abu-Rummaneh Shakibarslan Street,,,,,,,,,,,,
55fb3774c5fd9455673c0f91,,,,,,,24,,1442527073.924112,590,,الريادي السوري   syrian pioneers,590,"The overall objective:
Build a generation confident himself capable of leading the future",Organization,1715462928682393,,1446159116,,Lattakia,Syria,"The Syrian leadership program: it is based on a strategic vision emphasizes that inside every child the seeds of leadership we can through training to cultivate these seeds and make them specifications and behaviors help the child to be a future leader of the project
The overall objective:
Building generation has convinced himself specifications and qualifications that help him to lead his future
Specific objectives:
Positive impact on children's behavior through values ​​education program
Urged scientific research and exploration through the Young Researcher Development Platform",the syrian leadership   syrian pioneers,35.5167,35.7833,,,,,,,963+,,,,,,,,,,,
